Pattern,Detected Text,Start Index
[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[!],»Mein liebes Kind!« Der alte Junker trat näher an sie heran und dämpfte seine Stimme. »Du hast mir wahr und offenherzi,780999
[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[!],"Meine liebe Rose! Gestern sind wir zu Hause angekommen, nachdem wir eine wunderschöne kleine Reise gemacht haben. So ",4308528
[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[!],"»Mein lieber Paolo! Sieh, der Herr hier will uns noch viel mehr Geld geben, so daß wir sicher bald heiraten können.« »J",4680003
[»]?Hochverehrte[rsn]?\s[A-Za-z]*[!],"»Hochverehrter Herr! Der ergebenst Unterzeichnete gibt sich die Ehre, Sie zu einer Besprechung einzuladen, betreffend ei",1353269
[»]?Hochverehrte[rsn]?\s[A-Za-z]*[!],"Hochverehrte Festversammlung! Nil admirari sagt jener berühmte Horatius, welchem wir auch das andere Wort verdanken, es ist schön",2520217
[»]?Hochverehrte[rsn]?\s[A-Za-z]*[!],"Hochverehrte Festversammlung! Ist es doch wahr, dieses Wort des lateinischen Dichters! Denn wohin wir auch blicken, immer wieder ",2520438
[»]?Hochverehrte[rsn]?\s[A-Za-z]*[!],Hochverehrte Festversammlung! Nil admirari! Welch ein Unterschied zwischen heute und gestern! Der Totgeglaubte steht gesund und f,2521223
"[»]?Geehrte[rsn]?\s[A-Za-z]*[.!,]?","»Geehrter Herr! Ich zeige Ihnen, der Sie immer so teilnehmend gegen uns gewesen sind, im eigenen und im Namen meine",3406170
"[»]?Sehr verehrte[rs]?\s[A-Za-z]*[.!,]?","Sehr verehrter Herr! Ich bin unmöglich in der Lage, für alle verliebten Dummheiten meiner Frau aufzukommen, die dieselbe",4466941
"[»]?Grüß dich\s[A-Za-z]*[.!,]?","Grüß dich Gott, Lieserl!« Nach diesem Erkennen wurde nichts mehr gesprochen, man hörte nur mehr »Lieserl« und »Fran",5843920
"[»]?Grüß dich\s[A-Za-z]*[.!,]?","»Grüß dich Gott, Kindl!« sagte Schweiker und streckte zum Gruß die Hand. Die Hirtin zitterte und schaute. »Grüß dich",6009000
"[»]?Grüß dich\s[A-Za-z]*[.!,]?","»Grüß dich Gott, Kindl!« wiederholte Schweiker. Die Hirtin schwieg. »So gib mir den Gruß doch heim!« Keine Antwort. ",6009106
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Gott … wer kann das alles auseinander halten?« sagte der alte General, und ein gewisser Familienstolz kla",675727
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Bruder … verzeihe … aber du leugnest da etwas, was uns allen heilig sein sollte … Dies Geschlecht …« Der Pr",678126
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Doktor, manchmal sind Sie merkwürdig naiv! Wissen Sie nicht, daß das letzte bemerkenswerte Ereignis bei un",706535
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Freund! Ich kann nicht fort, sie lassen mich nicht. Sie lassen mir mein Kind nicht. Ich hab' es versucht un",941074
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),»Lieber Doktor!« sagte er. »Ob wir leben oder sterben … es is ein und dasselbe. Das begreifst du natürlich nicht. D,1072595
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Schrötter, wir bekommen nun eine Hausfrau. Ich habe mich verlobt.« »Ach Gott,« brachte Schrötter heraus,",1590471
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Liebes Kind,« sagte er nun voll Sorge, »dies kann ohne ärztlichen Rat nicht so weiter gehen …« »Was soll mir ei",1717636
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Liebes Kind, alles kommt auf die wirtschaftlichen Verhältnisse an. Und die sind: Baumann ist finanziell nicht i",1782941
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Freund! »Ich muß Ihnen mitteilen, daß vor drei Tagen mein geliebter Ätti sanft entschlafen ist. Vor einer S",2372193
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Papa, das geht nicht so schnell.« Ihr Vater stand mit einer zornigen Gebärde auf. Er machte, leise und u",3609147
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Freund, thu' mir den Gefallen und fange keinen Krakehl mit dem Professor an . . . . Das ist ein riesig bed",4423898
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),»Liebes Mädchen – wann kommst du wieder beichten? Morgen?« Als aber der Priester plötzlich den Anflug von Bar,5388995
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Mann! Bitte, spiel uns zum Tanz! Denn was ist eine Hochzeit ohne Tanz? Spielt nicht auch im Himmel Sankt ",5427061
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Liebes Kind, wenn schon für einen Mann, der August doch immerhin ist, diese Aufgabe zu schwer ist, wie viel meh",7034290
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Liebes Fräulein, die Gesetze dieser Erde sind von fehlbaren Menschen gemacht –« »Von schachernden Parteien si",7043366
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Liebes Kind, heutzutage ist alles möglich. Ich rate dir gut und väterlich, dein eigenes Leben zu leben und dich",7107157
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Gott, wenn du es in Gnaden so fügest, daß unser Sohn Richard und unser goldenes Irenchen ein glückliches",7272765
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Gott, was soll ich denn ablegen?« flüsterte Josephine, mit geängstigten Augen über die fingerdicken Tepp",7448509
»Liebe[sr]+\s[A-Z][a-z\s]*[A-Za-z!]*(?! sagte),"»Lieber Reimar, als Gast hast Du den Vorzug, Fräulein von Wetter den Arm zu bieten!« lächelte Günther zurücktreten",7453444
»Liebste[sr]?\s[A-Za-z]*[A-Za-z!]*,"»Liebstes Herz, was sind das für kindische Sorgen! Jetzt muß es Dir immer federleicht zu Mut sein, wie einer Lerch",3229790
»Liebste[sr]?\s[A-Za-z]*[A-Za-z!]*,"»Liebste Gräfin,« schrieb Tante Renate, »ich halte es für meine Pflicht, Sie über die Vermögensverhältnisse mei",7951927
[»]?Lieber Freund[!],"»Lieber Freund! Ich kann nicht fort, sie lassen mich nicht. Sie lassen mir mein Kind nicht. Ich hab' es versucht un",941074
[»]?Lieber Freund[!],"»Lieber Freund! »Ich muß Ihnen mitteilen, daß vor drei Tagen mein geliebter Ätti sanft entschlafen ist. Vor einer S",2372193
[»]?Geliebteste[r]?[!],"»Geliebtester! Wie hasse ich den Frühling. Es ist eine unerträgliche Jahreszeit. Ja, ich hasse sie. Weil es zwisch",1317179
[»]?Geliebte[r][!],Geliebter! * * * Ich schlafe. Da höre ich ein Lied durch die Nacht. Ich springe auf – wo ist ein Mantel? – und,204441
[»]?Geliebte[r][!],Geliebter!« Ungefähr um dieselbe Zeit sah Mansuet den guten Schimmelreiter mit ganz verstörtem Gesicht aus dem,3463715
[»]?Geliebte[r][!],"Geliebter! Übermorgen, wenn ich von Tlalpam zurückkomme, schreibe ich Dir wieder und sende Dir Nachricht durch",4934354
[»]?Geliebte[!],"Geliebte! sie war es!« Mansuet kannte sich nicht mehr. »Bestie!« kreischte er, riß ein Messer vom Tische und ",3482157
[»]?Geliebte[!],"»Geliebte!« »Hebe die blutbefleckten Hände nicht! Laß mich entflattern, beflecke meine weißen Flügel nicht! Bi",5508250
"[»]?Mein geliebte[rs]?\s[A-Za-z]*[.!,]?","»Mein geliebtes Kind, Du hattest, wie erinnerlich, meinen Mann und mich, Deine Mutter, zu übermorgen zu Tisch gebeten. Wi",1786410
"[»]?Teuerste[sr]?\s[A-Za-z]*[.!,]?",Teuerste auf der Karte. Nichts dünkt ihm für uns gut genug. Wenn er nur nicht gar so besorgt wäre! Jeden Moment ,215717
"[»]?Teure[sr]?\s[A-Za-z]*(?! von)[.!,]?","Teurer Meister, sagte er stockend, ich hab' Euch ein großes Geständnis zu machen. Crone und ich, wir haben uns gest",2276916
"[»]?Teure[sr]?\s[A-Za-z]*(?! von)[.!,]?","Teure hochverehrte Frau! Ihnen darf nicht eine gedruckte Karte das Glück verkünden, das Gott mir beschert hat. bei Ihn",4313889
Liebe (?! und),"Liebe zu sich selbst oder von der Liebe und Sorge für andere, auf der Bergeshöhe beisammenstanden und eini",33702
Liebe (?! und),"Liebe und Sorge für andere, auf der Bergeshöhe beisammenstanden und einigermaßen verwirrt auseinanderzusch",33736
Liebe (?! und),"Liebe noch bewahrte. Der Pfarrer aber, welcher die Frau Justine zu seinen Hauptstützen zählte, da sie mit ",103280
Liebe (?! und),"Liebe und der gegenseitigen Anhänglichkeit bilden, um sich für die große Stunde des verheißenen Weltgerich",162748
Liebe (?! und),"Liebe trieb, aus Unglücklichen, die einen Trost zu finden hofften, der ihnen anderwärts nirgends blühte. E",163205
Liebe (?! und),Liebe und der vornehmste Gegenstand all ihres Wohlwollens und ihrer Bewunderung gewesen. Indessen kam die ,180017
Liebe (?! und),"Liebe gefällt sich in solchen Schelmenstreichen. Was doch Sonne, Berg und Thal aus uns nicht alles machen ",208691
Liebe (?! und),Liebe durch die kalte Welt. Welch ein warmes Klima plötzlich! Wie im Süden. Heiss ists in der Winterkälte.,214184
Liebe (?! und),"Liebe stirbt, dann lassen wir uns begraben. Du denkst nicht dran. „Dazu kommts nie! Das giebts nicht!“ und",216987
Liebe (?! und),"Liebe sind, König und Königin des höchsten Lebens? * * * Wie auf einem Stück glühender Sonne ruht sichs an",217625
Liebe (?! und),"Liebe gesehn, mag nun die ganze Welt sie sehn! Wir brauchen uns nicht zu kümmern. Wir sind ja gestorben – ",221824
Liebe (?! und),"Liebe von dir verlangt.« »O weh, Vater,« sagte Berta mit komischem Entsetzen, »Liebe habe ich gar keine. W",227937
Liebe (?! und),"Liebe habe ich gar keine. Weißt du noch die erste Haushälterin, die zärtliche Fräulein Schmidt, die immer ",228016
Liebe (?! und),"Liebe entgegenkommen, die uns ersetzen will, was wir an deiner Mama verloren haben.« Berta schwieg. Sie be",228507
Liebe (?! und),"Liebe fürchtet, werde ich leicht fertig werden mit ihm.« In den nächsten Wochen war ein geschäftiges Leben",231733
Liebe (?! und),"Liebe der Frau entgegensehe, die ihr jetzt schon solche Opfer auferlegte. Mit bitterem Unmut nahm sie die ",233682
Liebe (?! und),Liebe konnte sie empfinden. Verschiedene Hochzeitsgäste waren an der Bahn: sie gingen alle zusammen nach d,235116
Liebe (?! und),"Liebe auf Berta. »Ich fühle es, Mutter,« sagte Berta, »aber ich habe noch eine Bitte: nimm jetzt die Schlü",261323
Liebe (?! und),Liebe gefunden und kann es etwas Besseres geben auf Erden?« Noch manch inniges Wort wurde zwischen Mutter ,262042
Liebe (?! und),"Liebe begegnen würden, habe ich sicher geglaubt. aber daß wir uns so schnell finden könnten, hätte ich noc",262926
Liebe (?! und),"Liebe Unglück haben, Numero eins, und Numero zwei: die heiratsfähigen Prinzessinnen der amerikanischen Eis",284064
Liebe (?! und),"Liebe Frau, wo kann man das Nähere erfahren?« »Nu, natürlich in ihrer Wohnung, wenn Sie sich die Mühe gebe",487025
Liebe (?! und),"Liebe Dame und beste Herren, da sagt dieser Junge: ›Den Kaffee und die Suppe habe ich meiner Schwester weg",509053
Liebe (?! und),"Liebe Gräfin: Also das nennen Sie Ihren inneren Menschen entwickeln, wenn Sie sich vor Tag und Tau im Wald",709160
Liebe (?! und),"Liebe Frau – sagen Sie: Nein! das sei eine blödsinnige, unverschämte Lüge. Und sagen Sie weiter, ich hätte",797608
Liebe (?! und),"Liebe Freundin – dies Mißtrauen gegen sich selber müssen Sie sich ausreden, eher kommen Sie nicht weiter u",870208
Liebe (?! und),"Liebe zu dem eigenen, uralten Blut, ein beinahe tierisches Sicheinsfühlen mit denen, die vom gleichen Stam",883324
Liebe (?! und),"Liebe erlischt und er sein Wort zurücknimmt – dann bin ich das elendeste Wesen, das die Sonne bescheint. O",1101410
Liebe (?! und),"Liebe zu verlieren, mich habe schweigen lassen, kaum eine Beachtung. Als ich seine Schritte auf der Treppe",1107430
Liebe (?! und),"Liebe schluchzt, und alle ihre Bewegungen hatten eine erhöhte Anmuth. Eines Tages aber flüsterte die Dame ",1137995
Liebe (?! und),Liebe entbrannt für Dich!« Und da erwachte Blanche aus ihrer holden unbewußten Wonne. Sie fing an zu prüfe,1138129
Liebe (?! und),"Liebe gebeten. Sollte ihr so schnell Erhörung werden? O maßloses Glück, o nie geahnte Seligkeit! Und denno",1145018
Liebe (?! und),Liebe auf weißem Marmoraltar ein Taubenopfer darbrachte und seinem Liebling Raffael den Kardinalshut für d,1164719
Liebe (?! und),Liebe zur Sühne und schwerer Buße zur Erinnerung. Wie die Verkörperung einer alten Legende muthet sie uns ,1167157
Liebe (?! und),"Liebe nieder. Dieser poetischen Supposition wurde die Verachtung zu theil, welche dieselbe verdiente. Ein ",1174929
Liebe (?! und),Liebe erzählt man die Geschichte seiner Nerven! . . . Meine Liebe! . . . Wo ich sie getroffen? . . . In He,1187201
Liebe (?! und),"Liebe und kindischer Eitelkeit, von tändelnder Koketterie und hingebender Selbstverleugnung – eine Geschic",1220177
Liebe (?! und),"Liebe zu heirathen, wie heutzutage. – Maxime war arm, Therese noch ärmer und obendrein nur von der seconde",1225641
Liebe (?! und),"Liebe zurück zu schenken. Als sie nach ihrer inbrünstigen Andacht emporsah, bemerkte sie tausend kleine Sä",1236764
Liebe (?! und),"Liebe nicht mehr eine Religion, wie in den Zeiten der Ritter und Minnesänger, sie war keine elegante Zerst",1243323
Liebe (?! und),"Liebe eine Kunst, die Rousseau gelehrt, ohne sie zu können. Das Herz war ein Instrument, an dem man bestän",1243612
Liebe (?! und),"Liebe eine Kunst war, so war sie eine, die er ganz wie ein gottbegnadigtes Genie instinctiv ausübte. Von a",1244461
